Protein	D_glucose	acetate	ethanol	glycerol	D_glucitol	D_galactose	D_ribose	D_xylose
P32891	0	0	0	0	0	0	0	0
P00045	0	0	0	0	0	0	0	0
P00044	0	0	0	0	0	0	0	0
P39976	0	0	0	0	0	0	0	0
P46681	0	0	0	0	0	0	0	0
P39714	0	0	0	0	0	0	0	0
P00175	0	0	0	0	0	0	0	0
P40989	0	0	0	0	0	0	0	0
Q04952	0.011839008	0.005537195	0.007501419	0.008760673	0.010858636	0.00935554	0.009931723	0.002903722
P38631	0	0	0	0	0	0	0	0
P25358	0	0	0	0	0	0	0	0
P40545	0	0	0	0	0	0	0	0
P07275	0	0.003015335	0.001544615	0	0	0	0	0.008140497
P32626	0	0	0	0	0	0	0	0
Q03677	0	0	0	0	0	0	0	0
Q12362	0.000640786	0.000249776	0.000371651	0.000449784	0.000579957	0.000486694	0.000522445	8.64E-05
P33312	0.044400027	0.020911044	0.028232282	0.032925935	0.040745797	0.035143209	0.037290847	0.01109544
P25605	0	0	0	0	0	0	0	0
P07342	0.00395735	0	0.001081126	0.001546597	0.003250953	0.002037828	0.002434962	0
P53848	0	0	0	0	0	0	0	0
P10356	0	0	0	0	0	0	0	0
P53090	0	0.000374846	0	8.21E-05	0	0	0	0
P47039	0	0	0	0	0	0	0	0
P38787	0	0	0	0	0	0	0	0
P14843	0	0	0	0	0	0	0	0
P32449	0	0	0	0	0	0	0	0
O13525	0	0	0	0	0	0	0	0
P27697	0	0	0	0	0	0	0	0
P53318	0	0	0	0	0	0	0	0
Q05779	0	0	0	0	0	0	0	0
P49017	0	0	0	0	0	0	0	0
P27680	0	0	0	0	0	0	0	0
P41735	0	0	0	0	0	0	0	0
P07264	0.003981626	0.000145722	0.001332831	0.001838437	0.00334961	0.002277145	0.002634253	0
P06208	0.00099388	0	0	0.000419504	0.000824499	0.000537078	0.000632783	0
Q12166	0	0	0.000277216	0	0	0	0	0
P38891	0	0	0	0	0	0	0	0
P47176	0	0	0	0	0	0	0	0
P38840	0	0.000447338	0	0.000140456	0	0	0	0
P49367	0.012311165	0.000296928	0.00401516	0.005568147	0.010327818	0.006950927	0.008069996	0
P43635	0	0	0	0	0	0	0	0
P32179	0.000243064	0.000101063	0.00017112	0	0	0	0	7.13E-06
P22434	0	0	0	0	0	0	0	0
P06776	0	0	0	0	0	0	0	0
Q99258	0	0	0	0	0	0	0	0
P08566	0	0	0	0	0	0	0	0
P38342	0	0	0	0	0	0	0	0
Q12184	0	0	0	0	0	0	0	0
P48360	0	0	0	0	0	0	0	0
P33751	0	0	0	0	0	0	0	0
Q03034	0	0	0	0	0	0	0	0
Q05979	0	0	0	0	0	0	0	0
Q02207	0	0	0	0	0	0	0	0
P47096	0	0	0	0	0	0	0	0
P32643	0	0	0	0	0	0	0	0
P04173	0.000849105	0	0.000233178	0.000350748	0.000702142	0.000452761	0.0005358	0
P26263	0	0	0	0	0	0	0	0
P06169	0.036038449	0	0	0.001496523	0.015763288	0.000721278	0.000389038	3.03E-05
P16467	0	0	0	0	0	0	0	0
P38122	0	0	0	0	0	0	0	0
Q07471	0	0	0	0	0	0	0	0.00029818
P37254	0	0	0	0	0	0	0	0
Q03266	0	0	0	0	0	0	0	0
P17649	0	0.001997346	0	0.00639831	0	0	0	0
P16120	0	0	0	0	0	0	0	0
Q06685	0	0	0	0	0	0	0	0
Q99321	0	0	0	0	0	0	0	0
Q12494	0	0	0	0	0	0	0	0
Q07938	0	0	0	0	0	0	0	0
P40025	0	0	0	0	0	0	0	0
P53078	0	0	0	0	0	0	0	0
Q99312	0	0	0	0	0	0	0	0
P38972	0.003019226	0.0013728	0.001885979	0.002214975	0.002763093	0.002370391	0.002520926	0.000684768
P53128	0	0	0	0	0	0	0	0
P46151	0	0	0	0	0	0	0	0
P09950	0	0	0	0	0	0	0	0
P40099	0	0	0	0	0	0	0	0
P05694	0.000470469	0	0	0	0.000179502	0	0	0
P47095	0	0	0	0	0	0	0	0
Q06489	0	0	0	0	0	0	0	0
P40433	0	0	0	0	0	0	0	0
Q12471	0	0	0	0	0	0	0	0
P53315	0	0	0	0	0	0	0	0
P38858	0.006431786	0	0	0	0.005774072	0.00583303	0.004746611	5.79E-05
P06168	0.004368417	0	0.000207621	0.000328852	0.003197645	0.001122464	0.001771717	0
P27796	0	0	0	0	0	0	0	0
P41338	0	0	0	0	0	0	0	0
P32874	0	0	0	0	0	0	0	0
P48445	0	0	0	0	0	0	0	0
Q00955	0.009077907	0.004233503	0.005743466	0.006711495	0.008324265	0.007168788	0.007611718	0.002209064
P32316	0	0	0	0	0	0	0	0
Q01574	0	0	0	0	0	0	0	0
P52910	0.001433765	0.019560341	0.010984035	0.00424818	0.001269017	0.002043851	0.001097853	3.19E-05
Q01217	0.000720003	0	0	0	0.00025748	0	0	0
P00635	0	0	0	0	0	0	0	0
P35842	0	0	0	0	0	0	0	0
P24031	0	0	0	0	0	0	0	0
P38693	0	0	0	0	0	0	0	0
Q12428	0	0	0	0	0	0	0	0
P18544	0.00090221	0	0	0	0.000336917	0	0	0
Q12036	0	0	0	0	0	0	0	0
P13711	0	0	0	0	0	0	0	0
P25628	0	0	0	0	0	0	0	0
P53629	0	0	0	0	0	0	0	0
P47026	0	0	0	0	0	0	0	0
P53909	0	0	0	0	0	0	0	0
P36973	0	0	0	0	0	0	0	0
P49435	0	0	0	0	0	0	0	0
P47143	0.000102184	0	2.87E-05	5.01E-05	8.56E-05	6.01E-05	6.99E-05	0
P15274	0	0	0	0	0	0	0	0
P39954	0.008714581	0.004061953	0.005512141	0.006441849	0.007990773	0.006881039	0.007306434	0.002117656
P21182	0	0	0	0	0	0	0	0
P50277	0	0	0	0	0	0	0	0
P08678	0	0	0	0	0	0	0	0
Q12055	0.003151123	0.008512049	0.00574492	0.003459358	0.002822084	0.002768177	0.002543728	0.000645491
P07170	0	0	0	0	0	0	0	0
P26364	0	0	0	0	0	0	0	0
Q05911	0.001058124	0.000446827	0.000637362	0.000759513	0.00096302	0.000817216	0.000873107	0.000191372
P80210	0.000366926	0.000120465	0.000197284	0.000246531	0.00032858	0.000269796	0.000292329	1.75E-05
Q02196	0.000405195	0.000196084	0.000299251	0	0	0	0	5.78E-05
P53314	0	0	0	0	0	0	0	0
P43567	0	0.003224204	0	0.001162064	0	0.000157604	0	0.000154848
P40825	0.000480581	0.000174133	0.000269651	0.000330887	0.000432907	0.000359814	0.000387833	4.61E-05
P53296	0	0	0	0	0	0	0	0
P40353	0	0	0	0	0	0	0	0
P00331	0	0	0.010922344	0	0	0	0	0
Q12458	0	0	0	0	0	0	0	0
P38715	0	0	0	0	0	0	0	0.216531867
P10127	0	0	0	0	0	0	0	0
P07246	0	0	0	0	0	0	0	0
P38113	0	0	0	0	0	0	0	0
P32771	0	0	0	0	0	0	0	0
P00330	0.003340349	0	0	0	0.001385897	0	0	0
P25377	0	0	0	0	0	0	0	0
Q04894	0	0	0	0	0	0	0	0
Q04458	0	0	0	0	0	0	0	0
P54114	0	0	0	0	0	0	0	0
P47771	0	0	0	0	0	0	0	0
P54115	0.003035699	3.64E-05	0.006715464	0	0.00269888	0	0.002348945	0.000169586
P46367	0	0	0.004520404	0.002492204	0	0.001178076	0	0
P40047	0	0	0.010016699	0.005575794	0	0.002698423	0	0
P11491	0	0	0	0	0	0	0	0
P25335	0	0	0	0	0	0	0	0
P32375	0	0	0	0	0	0	0	0
P32528	0	0	0	0	0	0	0	0
P38131	0	0	0	0	0	0	0	0
P38130	0	0	0	0	0	0	0	0
P27809	0	0	0	0	0	0	0	0
P26725	0	0	0	0	0	0	0	0
P33550	0	0	0	0	0	0	0	0
P53966	0	0	0	0	0	0	0	0
P27810	0	0	0	0	0	0	0	0
P54070	0	0	0	0	0	0	0	0
P48016	0	0	0	0	0	0	0	0
P35172	0	0	0	0	0	0	0	0
P32356	0	0	0	0	0	0	0	0
Q00764	1.05E-06	0	0	0	0	0	0	0
P31688	8.53E-05	0	1.80E-05	3.75E-05	7.01E-05	4.68E-05	5.57E-05	0
P38427	0	0	0	0	0	0	0	0
P38426	0.000113874	0	3.62E-05	5.87E-05	9.63E-05	6.94E-05	7.97E-05	0
P38158	0	0	0	0	0	0	0	0
P53051	0	0	0	0	0	0	0	0
P53341	0	0	0	0	0	0	0	0
P0CW40	0	0	0	0	0	0	0	0
P40884	0	0	0	0	0	0	0	0
P0CW41	0	0	0	0	0	0	0	0
P22580	0	0	0	0	0	0	0	0
Q03557	0	0	0	0	0	0	0	0
P07285	0	0	0	0	0	0	0	0
P00899	0	0	0	0	0	0	0	0
P00937	0	0	0	0	0	0	0	0
P49775	0	0	0	0	0	0	0	0
P00812	0	0	0	0	0	0	0	0.012660471
P04076	0	0	0	0	0	0	0	0
P22768	0	0.00010436	1.37E-05	0	0	0	0	0
Q05506	0.000761191	0.000306627	0.000448312	0.000539144	0.000690475	0.000582053	0.000623615	0.000116668
P38714	0	0	0	0	0	0	0	0
P49090	0	0	0	0	0	0	0	0
P49089	0	0	0	0	0	0	0	0
P38707	0.000764241	0.000308068	0.000450254	0.000541408	0.000693274	0.000584469	0.000626178	0.000117435
P25345	0	0	0	0	0	0	0	0
P07259	0	0	0	0	0	0	0	0
P10869	0	0	0	0	0	0	0	0
P23542	0	0.000272751	0.000411142	0	0	0	0	0
Q01802	0	0.000130946	0.000232895	0	0	0	0	0
P13663	0	0	0	0	0	0	0	0
P04802	0.00379125	0.001737324	0.002377518	0.002787942	0.003471722	0.002981825	0.003169618	0.000879001
P15179	0	0	0	0	0	0	0	0
P22108	0	0	0	0	0	0	0	0
P16550	0	0	0	0	0	0	0	0
P00498	0	0	0	0	0	0	0	0
P00856	0	0.003114526	0.003659371	0.002820075	0.001853781	0.002239425	0.002001234	0.000802797
P00854	0	0.015964433	0.018689273	0.014494411	0.009664882	0.011592322	0.010401839	0.004412098
P61829	0	0.042742668	0.05000454	0.038817879	0.025939134	0.031078944	0.027904297	0.011931861
P07251	0	0.009856429	0.011544001	0.008944402	0.005951471	0.007145936	0.006408178	0.002696235
P38077	0	0.018865605	0.022080221	0.017128282	0.011427154	0.013702443	0.012297109	0.005226391
Q12165	0	0.009297169	0.010889948	0.008436372	0.005611558	0.006738928	0.006042611	0.00253917
P09457	0	0.012496138	0.014631135	0.011342301	0.007555864	0.009067013	0.008133654	0.003437581
P81449	0	0.005904431	0.006922152	0.005354419	0.003549473	0.004269819	0.0038249	0.001586334
Q06405	0	0.006145542	0.00720413	0.005573444	0.003696019	0.004445291	0.003982506	0.001654049
P00830	0	0.009208436	0.010786175	0.008355768	0.005557626	0.006674352	0.005984609	0.00251425
P30902	0	0.010837159	0.012690962	0.009835293	0.006547551	0.007859673	0.007049244	0.002971667
Q12349	0	0.007700151	0.00902224	0.006985647	0.004640901	0.005576679	0.004998698	0.002090655
P81450	0	0.003592372	0.00421821	0.00325415	0.002144214	0.002587185	0.002313586	0.000936999
P05626	0	0.014765782	0.01728548	0.013404032	0.00893533	0.010718767	0.009617229	0.004074993
P21306	0	0.003622634	0.004253601	0.003281639	0.002162607	0.002609208	0.002333367	0.000945498
Q12233	0	0.007032164	0.008243003	0.006380381	0.004235927	0.005091769	0.004563161	0.001903527
P81451	0	0.004059453	0.004764458	0.003678445	0.002428104	0.00292711	0.002618901	0.001068177
P32903	0	0	0	0	0	0	0	0
P40975	0	0	0	0	0	0	0	0
P05030	0	0	0	0	0	0	0	0
P19657	0	0	0	0	0	0	0	0
P40009	0	0	0	0	0	0	0	0
P16661	0	0	0	0	0	0	0	0
P32451	0	0	0	0	0	0	0	0
P32462	0.029062774	0.013669548	0.018467461	0.021543395	0.026668034	0.022996458	0.024403883	0.007236936
P54781	0	0	0	0	0	0	0	0
P53199	0	0	0	0	0	0	0	0
Q12452	0.003960155	0.001817076	0.002485058	0.002913297	0.003626758	0.003115596	0.00331154	0.000921496
P53045	0	0	0	0	0	0	0	0
P32353	0	0	0	0	0	0	0	0
P32352	0	0	0	0	0	0	0	0
P25340	0.002926917	0.001329214	0.001827207	0.002146467	0.002678364	0.002297284	0.002443363	0.000661544
P22007	0	0	0	0	0	0	0	0
P29703	0	0	0	0	0	0	0	0
P03965	0	0	0	0	0	0	0	0
P07258	0	0	0	0	0	0	0	0
P80235	0	0.003843568	0.00114912	0.000526091	0	0	0	0
P40017	0	0	0	0	0	0	0	0
P32796	0	0.00385078	0.001151405	0.000527236	0	0	0	0
P06115	0	0	0	0	0	0	0	0
P15202	0	0	0	0	0	0	0	0
P38992	0	0	0	0	0	0	0	0
Q03529	0	0	0	0	0	0	0	0
P38703	0	0	0	0	0	0	0	0
Q03579	0	0	0	0	0	0	0	0
P28496	0	0	0	0	0	0	0	0
Q06702	0	0	0	0	0	0	0	0
Q06703	0	0	0	0	0	0	0	0
P29465	0	0	0	0	0	0	0	0
P14180	0	0	0	0	0	0	0	0
P08004	0	0	0	0	0	0	0	0
P20485	0	0	0	0	0	0	0	0
P13259	0	0	0	0	0	0	0	0
P32178	0	0	0	0	0	0	0	0
P28777	0	0	0	0	0	0	0	0
P19414	0.000452175	0.015626737	0.004779362	0.007209294	0.000394629	0.001455077	0.000218997	0.00042588
P35196	0	0	0	0	0	0	0	0
Q03175	0	0	0	0	0	0	0	0
P00890	7.50E-05	0.004884521	0.001446506	0.002216671	5.68E-05	0.00039288	1.11E-06	6.67E-05
P08679	0	0	0	0	0	0	0	0
P11353	0	0	0	0	0	0	0	0
P28274	0	0	0	0	0	0	0	0
P38627	0.000120363	4.05E-06	4.03E-05	6.35E-05	0.000102268	7.45E-05	8.52E-05	0
P43623	0	0	0	0	0	0	0	0
P53101	0	0	0	0	0	0	0	0
P32582	0	0	0	0.000131378	0.000156473	0.000146911	0.000161957	0
P31373	0	0	0	0	0	0	0	0
P47164	0	0	0	0	0	0	0	0
P06106	0	0	0	0	0	0	0	0
P53852	0	0	0	0	0	0	0	0
Q06549	0	0	0	0	0	0	0	0
P27515	0	0	0	0	0	0	0	0
P10614	0.000566236	0.000214576	0.000324186	0.000394456	0.000511528	0.000427651	0.000459804	6.76E-05
P16603	0.000742356	0.000297734	0.00043632	0.000525166	0.000673187	0.000567137	0.000607789	0.000111929
Q12178	0	0	0	0	0	0	0	0
P54783	0	0	0	0	0	0	0	0
Q04212	0	0	0	0	0	0	0	0
P38115	0	0	0	0	0	0	0	0
P14540	0	0.001374546	0.001888334	0.002217721	0	0	0	0
Q07786	0	0	0	0	0.005380398	0	0	0
P35497	0	0	0	0	0	0	0	0
P06773	0	0	0	0	0	0	0	0
P15454	0	0	0	0	0	0	0	0
P38791	0	0	0	0	0	0	0	0
P25332	0	0	0	0	0	0	0.07291313	0
Q03941	0	0	0	0	0	0	0	0
P53630	0	0	0	0	0	0	0	0
Q02896	0	0	0	0	0	0	0	0
P07807	0	0	0	0	0	0	0	0
Q12676	0	0	0	0	0	0	0	0
Q12154	0	0	0	0	0	0	0	0
P20051	0.001719094	0.000758919	0.001058199	0.001250065	0.00156972	0.001340702	0.001428492	0.000357667
P39522	0.001093272	0	0.000219034	0.000344762	0.000874312	0.000496441	0.000619284	0
P43550	0	0	0	0	0	0	0	0
P54838	0	0	0	0	0	0	0	0
P08524	0.005391934	0.002493114	0.003396655	0.003975909	0.004940966	0.004249547	0.004514589	0.001281716
P00950	0	0	0	0	0	0	0	0
P32469	0	0	0	0	0	0	0	0
P20048	0	0	0	0	0	0	0	0
P14020	0.000212061	4.73E-05	9.87E-05	0.0001316	0.000186436	0.000147149	0.000162209	0
P31382	0	0	0	0	0	0	0	0
P33775	0	0	0	0	0	0	0	0
P52867	0.000771319	0.00031141	0.00045476	0.000546661	0.000699771	0.000590075	0.000632125	0.000119216
P46971	0	0	0	0	0	0	0	0
P47190	0	0	0	0	0	0	0	0
P00572	0	0	0	0	0	0	0	0
P47119	0	0	0	0	0	0	0	0
P33317	0	0	0	0	0	0	0	0
P47180	0	0	0	0	0	0	0	0
P0CX11	0	0	0	0	0	0	0	0
P00924	0.017984563	0.000406208	0.00058259	0.001607907	0.008119966	0.006293579	0.006055517	0
P00925	0	0	0	0	0	0	0	0
P42222	0	0	0	0	0	0	0	0
P0CX10	0	0	0	0	0	0	0	0
Q03764	0	0	0	0	0	0	0	0
P41734	0	0	0	0	0	0	0	0
P52911	0	0	0	0	0	0	0	0
P15703	0	0	0	0	0	0	0	0
P23776	0	0	0	0	0	0	0	0
P53753	0	0	0	0	0	0	0	0
P32603	0	0	0	0	0	0	0	0
Q12051	0	0	0	0	0	0	0	0
P39518	0	0	0	0	0	0	0	0
P16622	0	0	0	0	0	0	0	0
P00431	0	0	0	0	0	0	0	0
P00401	0.001138815	0.007994288	0.009797122	0.008088825	0.005008711	0.006413528	0.005433833	0.002153619
P00410	0.00050188	0.003832609	0.004708512	0.003878541	0.002382071	0.003064601	0.002588617	0.000994925
P00420	0.000539647	0.004079371	0.005010235	0.004128186	0.002537815	0.003263172	0.002757322	0.001063629
P07255	4.67E-05	0.000858563	0.001072061	0.000869759	0.000504999	0.000671364	0.000555344	0.000166886
P04037	0.000261176	0.002259872	0.002785481	0.002287435	0.001389437	0.001799008	0.001513381	0.000557041
P32799	0.00021648	0.001966147	0.002428397	0.001991986	0.001205117	0.001564002	0.001313722	0.000475731
P00427	0.000265368	0.002287267	0.002818978	0.00231515	0.001406728	0.001821053	0.00153211	0.000564669
P00425	0.000262316	0.002267319	0.002794587	0.00229497	0.001394138	0.001805001	0.001518473	0.000559115
Q01519	0.00010622	0.001247412	0.001547518	0.00126315	0.000750422	0.000984274	0.00082119	0.00027515
P04039	0.000275307	0.002352202	0.002898376	0.002380844	0.001447712	0.001873307	0.001576505	0.000582748
P10174	4.61E-05	0.000854319	0.001066872	0.000865465	0.00050232	0.000667948	0.000552443	0.000165704
P38824	0	0	0	0	0	0	0	0
Q04935	0	0	0	0	0	0	0	0
P53239	0	0	0	0	0	0	0	0
