Rxn name	Formula	Gene-reaction association	LB	UB	Objective
xAMINOACID	0.388 ala__L[c] + 0.229 arg__L[c] + 0.259 asn__L[c] + 0.259 CE1787[c] + 0.047 cys__L[c] + 0.316 glu__L[c] + 0.316 gln__L[c] + 0.283 gly[c] + 0.148 his__L[c] + 0.21 ile__L[c] + 0.421 leu__L[c] + 0.334 lys__L[c] + 0.148 met__L[c] + 0.229 phe__L[c] + 0.225 pro__L[c] + 0.269 ser__L[c] + 0.292 thr__L[c] + 0.047 trp__L[c] + 0.148 tyr__L[c] + 0.292 val__L[c]  -> m1726[c] 		  0.00	1000.00	  0.00
xBIOMASS	86.7881 atp[c] + m1726[c] + m1727[c] + carbohydrate[c] + RNA[c] + DNA[c]  -> 86.7881 adp[c] + 86.7881 pi[c] + s_0450[c] 		  0.00	   Inf	  1.00
xLIPID	21.176 ergst[c] + 0.1 s_3656[lp] + 0.305 s_3658[lp] + 1.967 ps_cho[erm] + 12.51 m1640[lp] + 3.152 m1641[lp] + 3.6 m1648[erm] + 0.842 m1651[mm] + 3.399 m1705[lp] + 10.101 m1700[lp] + 14.24 m1701[lp]  -> 1000 m1727[c] 		  0.00	1000.00	  0.00
xMAINTENANCE	atp[c]  -> adp[c] + pi[c] 		  0.70	1000.00	  0.00
xPOOL_AC_EM	0.003 ddcacoa[erm] + 0.002 tdcoa[erm] + 0.19 pmtcoa[erm] + 0.042 stcoa[erm] + 0.515 ocdce9coa[erm] + 0.199 m1731[erm]  -> 0.951 m567[erm] 		  0.00	1000.00	  0.00
xPOOL_AC_LP	0.003 ddcacoa[lp] + 0.002 tdcoa[lp] + 0.19 pmtcoa[lp] + 0.042 stcoa[lp] + 0.515 ocdce9coa[lp] + 0.199 m1735[lp]  -> 0.951 m570[lp] 		  0.00	1000.00	  0.00
xPOOL_AC_MM	0.515 ocdce9coa[mm] + 0.199 m1743[mm] + 0.003 m1738[mm] + 0.002 m1739[mm] + 0.19 m1741[mm] + 0.042 m1742[mm]  -> 0.951 m790[mm] 		  0.00	1000.00	  0.00
xPOOL_FA_EM	0.003 ddca[erm] + 0.002 s_2835[erm] + 0.19 hdca[erm] + 0.042 ocdca[erm] + 0.515 ocdcea[erm] + 0.199 m1749[erm]  -> 0.951 m1658[erm] 		  0.00	1000.00	  0.00
xPOOL_FA_EN	0.515 ocdcea[ce] + 0.19 hdca[ce] + 0.042 ocdca[ce] + 0.003 m1753[ce] + 0.002 m1754[ce] + 0.199 m1756[ce]  -> 0.951 m1661[ce] 		  0.00	1000.00	  0.00
xPOOL_FA_LP	0.003 ddca[lp] + 0.002 s_2844[lp] + 0.19 hdca[lp] + 0.042 ocdca[lp] + 0.515 ocdcea[lp] + 0.199 m1761[lp]  -> 0.951 m1641[lp] 		  0.00	1000.00	  0.00
xPOOL_FA_MI	0.003 m1765[m] + 0.002 m1766[m] + 0.19 m1768[m] + 0.042 m1770[m] + 0.515 m1771[m] + 0.199 m1772[m]  -> 0.951 m1698[m] 		  0.00	1000.00	  0.00
xPOOL_FA_MM	0.19 hdca[mm] + 0.042 ocdca[mm] + 0.003 m1777[mm] + 0.002 m1778[mm] + 0.515 m1781[mm] + 0.199 m1782[mm]  -> 0.951 m1655[mm] 		  0.00	1000.00	  0.00
y000006	udpg[c]  -> 16BDglcn[ce] + h[c] + udp[c] 	YALI0_C14190g	  0.00	1000.00	  0.00
ADCL	4adcho[c]  -> 4abz[c] + h[c] + pyr[c] 	YALI0_D16269g	  0.00	1000.00	  0.00
y000088	ppmi12346p[c] + 2 h[c] + pi[c]  -> s_0263[c] + h2o[c] 	YALI0_B13464g	  0.00	1000.00	  0.00
y000089	ppmi12346p[c] + 2 h[c] + pi[c]  -> s_0309[c] + h2o[c] 	YALI0_B13464g	  0.00	1000.00	  0.00
ACP1e	h2o[e] + fmn[e]  -> pi[e] + ribflv[e] 	YALI0_C06930g	  0.00	1000.00	  0.00
AMAOTr	amet[c] + m172[c]  -> dann[c] + m259[c] 	YALI0_A08734g or YALI0_C05709g	  0.00	1000.00	  0.00
TREHv	h2o[v] + tre[v]  -> 2 glc__D[v] 	YALI0_E07744g	  0.00	1000.00	  0.00
y000208	atp[c] + CE1787[c] + citr__L[c]  -> argsuc[c] + amp[c] + ppi[c] + h[c] 		  0.00	1000.00	  0.00
y000275	cdpea[erm] + m1649[erm]  -> h[erm] + cmp[erm] + pe_cho[erm] 	YALI0_C10989g	  0.00	1000.00	  0.00
y000277	cdpchol[erm] + m1649[erm]  -> h[erm] + cmp[erm] + pchol_cho[erm] 	YALI0_C10989g	  0.00	1000.00	  0.00
DBTS	atp[c] + co2[c] + dann[c]  -> adp[c] + dtbt[c] + 3 h[c] + pi[c] 	YALIUNK1	  0.00	1000.00	  0.00
y000336	m570[lp] + m1642[lp]  -> coa[lp] + m1640[lp] 	YALI0_E32769g	  0.00	1000.00	  0.00
y000336_1	m567[erm] + m1649[erm]  -> coa[erm] + tag_cho[erm] 	YALI0_E32769g	  0.00	1000.00	  0.00
y000369	s_0685[c] + h2o[c]  -> ac[c] + etoh[c] + h[c] 	YALI0_B07227g	  0.00	1000.00	  0.00
y000399	atp[p] + coa[p] + dca[p]  -> amp[p] + dccoa[p] + ppi[p] 	YALI0_E16016g	  0.00	1000.00	  0.00
y000400	atp[p] + coa[p] + ddca[p]  -> amp[p] + ddcacoa[p] + ppi[p] 	YALI0_E16016g	  0.00	1000.00	  0.00
y000402	atp[p] + coa[p] + hdca[p]  -> amp[p] + pmtcoa[p] + ppi[p] 	YALI0_E16016g	  0.00	1000.00	  0.00
y000410	atp[p] + coa[p] + octa[p]  -> amp[p] + occoa[p] + ppi[p] 	YALI0_E16016g	  0.00	1000.00	  0.00
y000412	atp[p] + coa[p] + s_1166[p]  -> amp[p] + tdcoa[p] + ppi[p] 	YALI0_E16016g	  0.00	1000.00	  0.00
