Protein	D_glucose	acetate	ethanol	glycerol	D_glucitol	D_galactose	D_ribose	D_xylose
P32891	0	0	0	0	0	0	0	0
P00045	0	0	0	0	0	0	0	0
P00044	0	0	0	0	0	0	0	0
P39976	0	0	0	0	0	0	0	0
P46681	0	0	0	0	0	0	0	0
P39714	0	0	0	0	0	0	0	0
P00175	0	0	0	0	0	0	0	0
P40989	0	0	0	0	0	0	0	0
Q04952	0.011823406	0.005528844	0.007490933	0.008749573	0.010845145	0.009343746	0.0099198	0.0029002
P38631	0	0	0	0	0	0	0	0
P25358	0	0	0	0	0	0	0	0
P40545	0	0	0	0	0	0	0	0
P07275	0	0.003020786	0.001553188	0	0	0	0	0.008146186
P32626	0	0	0	0	0	0	0	0
Q03677	0	0	0	0	0	0	0	0
Q12362	0.000639818	0.000249362	0.000371	0.000449096	0.00057912	0.000485962	0.000521705	8.62E-05
P33312	0.044341874	0.020886194	0.028193199	0.032884561	0.04069551	0.035099246	0.037246405	0.011082314
P25605	0	0	0	0	0	0	0	0
P07342	0.003946317	0	0.001074798	0.001539898	0.003241412	0.002029487	0.002426531	0
P53848	0	0	0	0	0	0	0	0
P10356	0	0	0	0	0	0	0	0
P53090	0	0.000374503	0	8.17E-05	0	0	0	0
P47039	0	0	0	0	0	0	0	0
P38787	0	0	0	0	0	0	0	0
P14843	0	0	0	0	0	0	0	0
P32449	0	0	0	0	0	0	0	0
O13525	0	0	0	0	0	0	0	0
P27697	0	0	0	0	0	0	0	0
P53318	0	0	0	0	0	0	0	0
Q05779	0	0	0	0	0	0	0	0
P49017	0	0	0	0	0	0	0	0
P27680	0	0	0	0	0	0	0	0
P41735	0	0	0	0	0	0	0	0
P07264	0.003971734	0.000141495	0.001326182	0.001831399	0.003341056	0.002269667	0.002626693	0
P06208	0.000991229	0	0	0.000417618	0.000822207	0.000535074	0.000630757	0
Q12166	0	0	0.000275466	0	0	0	0	0
P38891	0	0	0	0	0	0	0	0
P47176	0	0	0	0	0	0	0	0
P38840	0	0.000445316	0	0.000140087	0	0	0	0
P49367	0.012280141	0.000285357	0.00399431	0.005546074	0.01030099	0.006927473	0.008046287	0
P43635	0	0	0	0	0	0	0	0
P32179	0.000243492	0.000100825	0.000170746	0	0	0	0	7.01E-06
P22434	0	0	0	0	0	0	0	0
P06776	0	0	0	0	0	0	0	0
Q99258	0	0	0	0	0	0	0	0
P08566	0	0	0	0	0	0	0	0
P38342	0	0	0	0	0	0	0	0
Q12184	0	0	0	0	0	0	0	0
P48360	0	0	0	0	0	0	0	0
P33751	0	0	0	0	0	0	0	0
Q03034	0	0	0	0	0	0	0	0
Q05979	0	0	0	0	0	0	0	0
Q02207	0	0	0	0	0	0	0	0
P47096	0	0	0	0	0	0	0	0
P32643	0	0	0	0	0	0	0	0
P04173	0.000846805	0	0.000231633	0.000349111	0.000700153	0.000451022	0.000534042	0
P26263	0	0	0	0	0	0	0	0
P06169	0.036008322	0	0	0.001498095	0.015765736	0.000721547	0.000388358	3.01E-05
P16467	0	0	0	0	0	0	0	0
P38122	0	0	0	0	0	0	0	0
Q07471	0	0	0	0	0	0	0	0.000299151
P37254	0	0	0	0	0	0	0	0
Q03266	0	0	0	0	0	0	0	0
P17649	0	0.00199938	0	0.006409071	0	0	0	0
P16120	0	0	0	0	0	0	0	0
Q06685	0	0	0	0	0	0	0	0
Q99321	0	0	0	0	0	0	0	0
Q12494	0	0	0	0	0	0	0	0
Q07938	0	0	0	0	0	0	0	0
P40025	0	0	0	0	0	0	0	0
P53078	0	0	0	0	0	0	0	0
Q99312	0	0	0	0	0	0	0	0
P38972	0.00301515	0.001371058	0.00188324	0.002212075	0.002759568	0.00236731	0.002517811	0.000683848
P53128	0	0	0	0	0	0	0	0
P46151	0	0	0	0	0	0	0	0
P09950	0	0	0	0	0	0	0	0
P40099	0	0	0	0	0	0	0	0
P05694	0.000463682	0	0	0	0.000322562	0	0	0
P47095	0	0	0	0	0	0	0	0
Q06489	0	0	0	0	0	0	0	0
P40433	0	0	0	0	0	0	0	0
Q12471	0	0	0	0	0	0	0	0
P53315	0	0	0	0	0	0	0	0
P38858	0.006436517	0	0	0	0.005766412	0.005842509	0.004748367	6.44E-05
P06168	0.004350235	0	0.000205973	0.000327107	0.003181922	0.001108718	0.001757822	0
P27796	0	0	0	0	0	0	0	0
P41338	0	0	0	0	0	0	0	0
P32874	0	0	0	0	0	0	0	0
P48445	0	0	0	0	0	0	0	0
Q00955	0.009065913	0.004228378	0.005735405	0.006702962	0.008313893	0.007159721	0.007602552	0.002206357
P32316	0	0	0	0	0	0	0	0
Q01574	0	0	0	0	0	0	0	0
P52910	0.001431164	0.019558586	0.010988015	0.004252218	0.001266768	0.002044572	0.001095866	3.13E-05
Q01217	0.000712857	0	0	0	0.000251307	0	0	0
P00635	0	0	0	0	0	0	0	0
P35842	0	0	0	0	0	0	0	0
P24031	0	0	0	0	0	0	0	0
P38693	0	0	0	0	0	0	0	0
Q12428	0	0	0	0	0	0	0	0
P18544	0.000893484	0	0	0	0.000329371	0	0	0
Q12036	0	0	0	0	0	0	0	0
P13711	0	0	0	0	0	0	0	0
P25628	0	0	0	0	0	0	0	0
P53629	0	0	0	0	0	0	0	0
P47026	0	0	0	0	0	0	0	0
P53909	0	0	0	0	0	0	0	0
P36973	0	0	0	0	0	0	0	0
P49435	0	0	0	0	0	0	0	0
P47143	0.00010192	0	2.86E-05	4.99E-05	8.54E-05	5.99E-05	6.97E-05	0
P15274	0	0	0	0	0	0	0	0
P39954	0.008703062	0.004057031	0.0055044	0.006433654	0.007980813	0.006872331	0.007297631	0.002115056
P21182	0	0	0	0	0	0	0	0
P50277	0	0	0	0	0	0	0	0
P08678	0	0	0	0	0	0	0	0
Q12055	0.00314966	0.008511264	0.005745898	0.003460583	0.002820932	0.002768148	0.002542797	0.000645293
P07170	0	0	0	0	0	0	0	0
P26364	0	0	0	0	0	0	0	0
Q05911	0.001056604	0.00044618	0.000636345	0.000758436	0.000961711	0.000816072	0.000871951	0.00019103
P80210	0.00036631	0.000120205	0.000196874	0.000246097	0.000328052	0.000269335	0.000291863	1.73E-05
Q02196	0.000405825	0.00019405	0.0002987	0	0	0	0	5.76E-05
P53314	0	0	0	0	0	0	0	0
P43567	0	0.003222039	0	0.001159737	0	0.000157899	0	0.000154645
P40825	0.000479823	0.000173808	0.000269141	0.000330347	0.000432252	0.000359241	0.000387253	4.59E-05
P53296	0	0	0	0	0	0	0	0
P40353	0	0	0	0	0	0	0	0
P00331	0	0	0.010911941	0	0	0	0	0
Q12458	0	0	0	0	0	0	0	0
P38715	0	0	0	0	0	0	0	0.21652809
P10127	0	0	0	0	0	0	0	0
P07246	0	0	0	0	0	0	0	0
P38113	0	0	0	0	0	0	0	0
P32771	0	0	0	0	0	0	0	0
P00330	0.003337371	0	0	0	0.001386218	0	0	0
P25377	0	0	0	0	0	0	0	0
Q04894	0	0	0	0	0	0	0	0
Q04458	0	0	0	0	0	0	0	0
P54114	0	0	0	0	0	0	0	0
P47771	0	0	0	0	0	0	0	0
P54115	0.003030383	3.67E-05	0.006728193	0	0.002694283	0	0.002344882	0.000168386
P46367	0	0	0.004519065	0.002494612	0	0.001178506	0	0
P40047	0	0	0.010013766	0.005581066	0	0.002699365	0	0
P11491	0	0	0	0	0	0	0	0
P25335	0	0	0	0	0	0	0	0
P32375	0	0	0	0	0	0	0	0
P32528	0	0	0	0	0	0	0	0
P38131	0	0	0	0	0	0	0	0
P38130	0	0	0	0	0	0	0	0
P27809	0	0	0	0	0	0	0	0
P26725	0	0	0	0	0	0	0	0
P33550	0	0	0	0	0	0	0	0
P53966	0	0	0	0	0	0	0	0
P27810	0	0	0	0	0	0	0	0
P54070	0	0	0	0	0	0	0	0
P48016	0	0	0	0	0	0	0	0
P35172	0	0	0	0	0	0	0	0
P32356	0	0	0	0	0	0	0	0
Q00764	0	0	0	0	0	0	0	0
P31688	8.51E-05	0	1.78E-05	3.74E-05	6.99E-05	4.66E-05	5.55E-05	0
P38427	0	0	0	0	0	0	0	0
P38426	0.000113595	0	3.60E-05	5.85E-05	9.61E-05	6.92E-05	7.95E-05	0
P38158	0	0	0	0	0	0	0	0
P53051	0	0	0	0	0	0	0	0
P53341	0	0	0	0	0	0	0	0
P0CW40	0	0	0	0	0	0	0	0
P40884	0	0	0	0	0	0	0	0
P0CW41	0	0	0	0	0	0	0	0
P22580	0	0	0	0	0	0	0	0
Q03557	0	0	0	0	0	0	0	0
P07285	0	0	0	0	0	0	0	0
P00899	0	0	0	0	0	0	0	0
P00937	0	0	0	0	0	0	0	0
P49775	0	0	0	0	0	0	0	0
P00812	0	0	0	0	0	0	0	0.01266911
P04076	0	0	0	0	0	0	0	0
P22768	0	0.000103013	1.42E-05	0	0	0	0	0
Q05506	0.000760065	0.000306147	0.000447555	0.000538344	0.000689502	0.000581203	0.000622755	0.000116414
P38714	0	0	0	0	0	0	0	0
P49090	0	0	0	0	0	0	0	0
P49089	0	0	0	0	0	0	0	0
P38707	0.000763112	0.000307585	0.000449495	0.000540605	0.000692298	0.000583615	0.000625315	0.00011718
P25345	0	0	0	0	0	0	0	0
P07259	0	0	0	0	0	0	0	0
P10869	0	0	0	0	0	0	0	0
P23542	0	0.000273025	0.000411406	0	0	0	0	0
Q01802	0	0.000131349	0.000233359	0	0	0	0	0
P13663	0	0	0	0	0	0	0	0
P04802	0.003786165	0.001735151	0.0023741	0.002784325	0.003467325	0.002977981	0.003165732	0.000877853
P15179	0	0	0	0	0	0	0	0
P22108	0	0	0	0	0	0	0	0
P16550	0	0	0	0	0	0	0	0
P00498	0	0	0	0	0	0	0	0
P00856	0	0.003113706	0.003657711	0.002818967	0.001851474	0.002238532	0.001999865	0.000802285
P00854	0	0.015962019	0.018680973	0.014488873	0.009653351	0.011587862	0.010394997	0.004409539
P61829	0	0.042731734	0.049982406	0.038803111	0.025908386	0.031067037	0.027886052	0.011925038
P07251	0	0.009853888	0.011538857	0.00894097	0.005944326	0.007143169	0.006403937	0.002694649
P38077	0	0.018860765	0.022070423	0.017121744	0.011413542	0.013697172	0.012289032	0.00522337
Q12165	0	0.009294771	0.010885093	0.008433133	0.005604813	0.006736317	0.006038608	0.002537673
P09457	0	0.012492924	0.014624627	0.011337959	0.007546824	0.009063512	0.00812829	0.003435575
P81449	0	0.005902898	0.00691905	0.00535235	0.003545163	0.00426815	0.003822343	0.001585378
Q06405	0	0.006143948	0.007200904	0.005571291	0.003691536	0.004443555	0.003979846	0.001653054
P00830	0	0.009206061	0.010781366	0.008352559	0.005550946	0.006671765	0.005980645	0.002512767
P30902	0	0.010834368	0.012685311	0.009831522	0.006539702	0.007856634	0.007044586	0.002969926
Q12349	0	0.00769816	0.009018211	0.006982958	0.004635303	0.005574515	0.004995376	0.002089413
P81450	0	0.00359143	0.004216302	0.003252877	0.002141564	0.002586159	0.002312013	0.000936411
P05626	0	0.014761988	0.0172778	0.013398908	0.008924661	0.010714636	0.009610898	0.004072626
P21306	0	0.003621684	0.004251678	0.003280356	0.002159935	0.002608178	0.002331782	0.000944905
Q12233	0	0.007032029	0.008239318	0.006377922	0.004230807	0.005089791	0.004560123	0.001902391
P81451	0	0.004056707	0.00476231	0.003677011	0.002425119	0.002925954	0.002617129	0.001067515
P32903	0	0	0	0	0	0	0	0
P40975	0	0	0	0	0	0	0	0
P05030	0	0	0	0	0	0	0	0
P19657	0	0	0	0	0	0	0	0
P40009	0	0	0	0	0	0	0	0
P16661	0	0	0	0	0	0	0	0
P32451	0	0	0	0	0	0	0	0
P32462	0.029024664	0.013651579	0.018441849	0.021516282	0.026635079	0.022967648	0.024374759	0.007228334
P54781	0	0	0	0	0	0	0	0
P53199	0	0	0	0	0	0	0	0
Q12452	0.003954849	0.001814808	0.002481492	0.002909523	0.00362217	0.003111585	0.003307485	0.000920298
P53045	0	0	0	0	0	0	0	0
P32353	0	0	0	0	0	0	0	0
P32352	0	0	0	0	0	0	0	0
P25340	0.002922962	0.001327524	0.001824549	0.002143653	0.002674943	0.002294293	0.002440341	0.000660651
P22007	0	0	0	0	0	0	0	0
P29703	0	0	0	0	0	0	0	0
P03965	0	0	0	0	0	0	0	0
P07258	0	0	0	0	0	0	0	0
P80235	0	0.003842371	0.001149939	0.000526857	0	0	0	0
P40017	0	0	0	0	0	0	0	0
P32796	0	0.003847897	0.001152224	0.000528003	0	0	0	0
P06115	0	0	0	0	0	0	0	0
P15202	0	0	0	0	0	0	0	0
P38992	0	0	0	0	0	0	0	0
Q03529	0	0	0	0	0	0	0	0
P38703	0	0	0	0	0	0	0	0
Q03579	0	0	0	0	0	0	0	0
P28496	0	0	0	0	0	0	0	0
Q06702	0	0	0	0	0	0	0	0
Q06703	0	0	0	0	0	0	0	0
P29465	0	0	0	0	0	0	0	0
P14180	0	0	0	0	0	0	0	0
P08004	0	0	0	0	0	0	0	0
P20485	0	0	0	0	0	0	0	0
P13259	0	0	0	0	0	0	0	0
P32178	0	0	0	0	0	0	0	0
P28777	0	0	0	0	0	0	0	0
P19414	0.000449986	0.015623426	0.004783025	0.007206797	0.000381046	0.001458487	0.00021353	0.000424768
P35196	0	0	0	0	0	0	0	0
Q03175	0	0	0	0	0	0	0	0
P00890	7.43E-05	0.004883472	0.001447667	0.00221588	5.25E-05	0.000393961	0	6.63E-05
P08679	0	0	0	0	0	0	0	0
P11353	0	0	0	0	0	0	0	0
P28274	0	0	0	0	0	0	0	0
P38627	0.000120075	3.93E-06	4.01E-05	6.33E-05	0.000102019	7.43E-05	8.49E-05	0
P43623	0	0	0	0	0	0	0	0
P53101	0	0	0	0	0	0	0	0
P32582	0	0	0	0.000131088	0.000140925	0.000146603	0.000161645	0
P31373	0	0	0	0	0	0	0	0
P47164	0	0	0	0	0	0	0	0
P06106	0	0	0	0	0	0	0	0
P53852	0	0	0	0	0	0	0	0
Q06549	0	0	0	0	0	0	0	0
P27515	0	0	0	0	0	0	0	0
P10614	0.000565365	0.000214204	0.000323601	0.000393837	0.000510776	0.000426993	0.000459139	6.74E-05
P16603	0.000741256	0.000297264	0.00043558	0.000524383	0.000672235	0.000566305	0.000606948	0.000111681
Q12178	0	0	0	0	0	0	0	0
P54783	0	0	0	0	0	0	0	0
Q04212	0	0	0	0	0	0	0	0
P38115	0	0	0	0	0	0	0	0
P14540	0	0.001375344	0.001889018	0.002218812	0	0	0	0
Q07786	0	0	0	0	0.005380341	0	0	0
P35497	0	0	0	0	0	0	0	0
P06773	0	0	0	0	0	0	0	0
P15454	0	0	0	0	0	0	0	0
P38791	0	0	0	0	0	0	0	0
P25332	0	0	0	0	0	0	0.072893748	0
Q03941	0	0	0	0	0	0	0	0
P53630	0	0	0	0	0	0	0	0
Q02896	0	0	0	0	0	0	0	0
P07807	0	0	0	0	0	0	0	0
Q12676	0	0	0	0	0	0	0	0
Q12154	0	0	0	0	0	0	0	0
P20051	0.001824355	0.000808733	0.001125128	0.001328263	0.001666471	0.001424158	0.001517128	0.000384215
P39522	0.001089855	0	0.000217324	0.000342952	0.000871358	0.000493858	0.000616673	0
P43550	0	0	0	0	0	0	0	0
P54838	0	0	0	0	0	0	0	0
P08524	0.005384757	0.002490047	0.003391831	0.003970803	0.00493476	0.004244121	0.004509104	0.001280096
P00950	0	0	0	0	0	0	0	0
P32469	0	0	0	0	0	0	0	0
P20048	0	0	0	0	0	0	0	0
P14020	0.000211653	4.72E-05	9.84E-05	0.00013131	0.000186083	0.00014684	0.000161897	0
P31382	0	0	0	0	0	0	0	0
P33775	0	0	0	0	0	0	0	0
P52867	0.00077018	0.000310923	0.000453995	0.000545851	0.000698786	0.000589214	0.000631254	0.000118959
P46971	0	0	0	0	0	0	0	0
P47190	0	0	0	0	0	0	0	0
P00572	0	0	0	0	0	0	0	0
P47119	0	0	0	0	0	0	0	0
P33317	0	0	0	0	0	0	0	0
P47180	0	0	0	0	0	0	0	0
P0CX11	0	0	0	0	0	0	0	0
P00924	0.017968573	0.00040667	0.000583078	0.001607095	0.00811861	0.00628678	0.006052185	0
P00925	0	0	0	0	0	0	0	0
P42222	0	0	0	0	0	0	0	0
P0CX10	0	0	0	0	0	0	0	0
Q03764	0	0	0	0	0	0	0	0
P41734	0	0	0	0	0	0	0	0
P52911	0	0	0	0	0	0	0	0
P15703	0	0	0	0	0	0	0	0
P23776	0	0	0	0	0	0	0	0
P53753	0	0	0	0	0	0	0	0
P32603	0	0	0	0	0	0	0	0
Q12051	0	0	0	0	0	0	0	0
P39518	0	0	0	0	0	0	0	0
P16622	0	0	0	0	0	0	0	0
P00431	0	0	0	0	0	0	0	0
P00401	0.001140043	0.007992114	0.009792469	0.008085882	0.005002576	0.006411042	0.005430517	0.002152312
P00410	0.000502477	0.003831552	0.004706251	0.003877111	0.002379091	0.003063393	0.002587006	0.00099429
P00420	0.000540281	0.004078248	0.005007833	0.004126666	0.002534648	0.003261889	0.00275561	0.001062954
P07255	4.69E-05	0.000858305	0.00107151	0.00086941	0.000504273	0.000671069	0.000554952	0.000166731
P04037	0.000261534	0.002259238	0.002784124	0.002286577	0.001387649	0.001798283	0.001512415	0.00055666
P32799	0.000216793	0.001967278	0.002427208	0.001991234	0.00120355	0.001563367	0.001312875	0.0004745
P00427	0.000265731	0.002286626	0.002817605	0.002314282	0.001404918	0.00182032	0.001531133	0.000564283
P00425	0.000262675	0.002266683	0.002793226	0.002294109	0.001392344	0.001804274	0.001517503	0.000558733
Q01519	0.000106425	0.00124705	0.001546743	0.00126266	0.000749401	0.00098386	0.000820638	0.000274933
P04039	0.000275679	0.002351544	0.002896966	0.002379953	0.001445853	0.001872554	0.001575501	0.000582352
P10174	4.62E-05	0.000854062	0.001066323	0.000865118	0.000501597	0.000667655	0.000552052	0.00016555
P38824	0	0	0	0	0	0	0	0
Q04935	0	0	0	0	0	0	0	0
P53239	0	0	0	0	0	0	0	0
P47081	0	0	0	0	0	0	0	0
